date,ID ,local_name,boma_age,CH4_flux,N2O_flux,d15N,d15NSP,d18O,VWC,Soil_temp,d15N_soil,N_soil,d15N_manure,N_manure,WFPS
22.10.21,B1,Potha,0,9660.66,246.4,-15.83,4.83,35.62,,,7.27,0.15,3.11,1.22,
22.10.21,B2,Potha,0,2930.29,150.48,,,,1.05,45,7.27,0.15,3.11,1.22,147.01
22.10.21,C1,Kathemethi,0,3752.67,23.72,-18.3,11.63,46.68,0.95,32.3,5.47,0.21,2.43,1.08,132.64
22.10.21,C2,Kathemethi,0,7548,41.58,-14.93,3.14,43.89,0.6,32.6,5.47,0.21,2.43,1.08,83.68
22.10.21,C3,Kathemethi,0,9121.34,20.91,-9.75,-3.09,46.38,0.59,32.9,5.47,0.21,2.43,1.08,82.57
22.10.21,D1,Kilome,0,12752.55,23.76,-14.16,6.92,39.76,0.82,29.7,8.43,0.13,2.94,1.18,114.65
22.10.21,D2,Kilome,0,8285.79,75.14,-11.58,-3.47,37.03,0.67,28,8.43,0.13,2.94,1.18,94.01
23.10.21,E1,Kilaani,2,-1.21,37.46,-13.59,-1.72,39,0.26,28.8,8.65,0.16,6.73,1.39,35.57
23.10.21,E2,Kilaani,2,13.7,1848.35,-20.32,0.07,31.65,0.35,27.8,8.65,0.16,6.73,1.39,49.23
23.10.21,E3,Kilaani,2,23.92,6270.78,-21.91,3.14,27.02,0.32,27.3,8.65,0.16,6.73,1.39,44.63
23.10.21,F1,Kilaani,1,0.12,207.48,-6.1,4.7,64.04,0.25,29.7,9.34,0.15,4.4,1.47,35.29
23.10.21,F2,Kilaani,1,2.04,162.1,-1.42,10.84,69.78,0.26,30.4,9.34,0.15,4.4,1.47,35.84
23.10.21,F3,Kilaani,1,30.94,5676.17,-8.21,4.55,53.31,0.3,32.4,9.34,0.15,4.4,1.47,41.7
23.10.21,G1,Kilaani,3,16.76,1249.08,-1.79,3.46,54.06,0.21,31.1,8.44,0.19,7.46,2.26,28.59
23.10.21,G2,Kilaani,3,11.85,1904.28,0.78,3.25,54.47,0.17,31.5,8.44,0.19,7.46,2.26,23.99
23.10.21,G3,Kilaani,3,45.59,4507.06,-6.83,2.29,49.29,0.18,33.8,8.44,0.19,7.46,2.26,24.41
23.10.21,T1,Supply,1,153.54,1130.44,-7.88,3.32,39.97,0.17,33.2,6.51,0.32,6.81,2.31,23.57
